"species","x","y","year","ID"
"Araucaria angustifolia",-50.9558,-29.0103,"2018","476"
"Araucaria angustifolia",-52.4311,-29.2703,"2018","478"
"Araucaria angustifolia",-50.6744,-28.9275,"2018","484"
"Araucaria angustifolia",-50.5367,-29.2342,"2018","485"
"Araucaria angustifolia",-52.5447,-29.4064,"2018","486"
"Araucaria angustifolia",-49.1497,-27.6281,"2018","489"
"Araucaria angustifolia",-49.7706,-27.54,"2018","490"
"Araucaria angustifolia",-49.2286,-26.0989,"2018","491"
"Araucaria angustifolia",-50.04,-26.37,"2018","492"
"Araucaria angustifolia",-50.2728,-26.4283,"2018","493"
"Araucaria angustifolia",-50.3997,-26.5478,"2018","496"
"Araucaria angustifolia",-50.13,-26.64,"2018","497"
"Araucaria angustifolia",-50.0375,-26.8186,"2018","498"
"Araucaria angustifolia",-50.2178,-27.1825,"2018","499"
"Araucaria angustifolia",-50.0383,-27.3614,"2018","500"
"Araucaria angustifolia",-49.59,-27.63,"2018","501"
"Araucaria angustifolia",-48.8719,-27.8983,"2018","502"
"Araucaria angustifolia",-49.2283,-26.2781,"2018","503"
"Araucaria angustifolia",-49.6814,-26.2794,"2018","504"
"Araucaria angustifolia",-49.7708,-26.5497,"2018","506"
"Araucaria angustifolia",-50.3103,-27.0003,"2018","507"
"Araucaria angustifolia",-50.2336,-27.3611,"2018","508"
"Araucaria angustifolia",-49.59,-27.81,"2018","509"
"Araucaria angustifolia",-49.9497,-27.81,"2018","510"
"Araucaria angustifolia",-49.3222,-27.8117,"2018","511"
"Araucaria angustifolia",-49.4094,-28.0803,"2018","512"
"Araucaria angustifolia",-49.05,-28.5,"2022","516"
"Araucaria angustifolia",-50.1328,-26.1031,"2018","520"
"Araucaria angustifolia",-50.4911,-26.1906,"2018","521"
"Araucaria angustifolia",-51.0614,-26.27,"2018","523"
"Araucaria angustifolia",-53.2939,-26.3286,"2018","524"
"Araucaria angustifolia",-50.7658,-26.3731,"2018","525"
"Araucaria angustifolia",-52.5642,-26.4606,"2018","527"
"Araucaria angustifolia",-52.8408,-26.4636,"2018","528"
"Araucaria angustifolia",-52.74,-26.73,"2018","529"
"Araucaria angustifolia",-52.4703,-26.8197,"2018","530"
"Araucaria angustifolia",-52.2942,-26.8222,"2018","531"
"Araucaria angustifolia",-50.6714,-27.0886,"2018","532"
"Araucaria angustifolia",-51.3881,-27.2697,"2018","534"
"Araucaria angustifolia",-51.7061,-27.405,"2018","535"
"Araucaria angustifolia",-50.22,-27.6308,"2018","538"
"Araucaria angustifolia",-51.1628,-27.6333,"2018","539"
"Araucaria angustifolia",-51.0336,-27.9019,"2018","540"
"Araucaria angustifolia",-50.8497,-28.035,"2018","541"
"Araucaria angustifolia",-50.5803,-26.3814,"2018","543"
"Araucaria angustifolia",-51.03,-26.46,"2018","544"
"Araucaria angustifolia",-51.9303,-26.64,"2018","546"
"Araucaria angustifolia",-51.5728,-26.6417,"2018","547"
"Araucaria angustifolia",-50.6708,-26.7303,"2018","548"
"Araucaria angustifolia",-52.0169,-26.82,"2018","550"
"Araucaria angustifolia",-51.9319,-27.0014,"2018","553"
"Araucaria angustifolia",-51.2092,-27.0908,"2018","555"
