"species","longitude","latitude"
"Araucaria angustifolia",-50.365531,-29.095667
"Araucaria angustifolia",-49.564445,-28.368407
"Araucaria angustifolia",-49.655862,-28.565923
"Araucaria angustifolia",-43.750227,-21.319153
"Araucaria angustifolia",-48.9,-23.1
"Araucaria angustifolia",-51.783722,-25.420136
"Araucaria angustifolia",-53.294536,-24.996622
"Araucaria angustifolia",-53.620833,-25.572778
"Araucaria angustifolia",-53.371389,-25.342222
"Araucaria angustifolia",-48.718611,-24.772222
"Araucaria angustifolia",-50.3299,-27.834812
"Araucaria angustifolia",-47.4,-22.59
"Araucaria angustifolia",-49.862928,-24.40488
"Araucaria angustifolia",-41.266858,-20.273678
"Araucaria angustifolia",-49.461885,-26.121969
"Araucaria angustifolia",-51.63235947,-25.78570949
"Araucaria angustifolia",-53.539124,-26.983276
"Araucaria angustifolia",-44.869878,-22.283014
"Araucaria angustifolia",-49.459488,-25.468886
"Araucaria angustifolia",-49.378738,-26.334653
"Araucaria angustifolia",-44.833524,-23.17469
"Araucaria angustifolia",-49.628052,-27.20661
"Araucaria angustifolia",-50.803889,-26.646111
"Araucaria angustifolia",-44.938889,-22.420556
"Araucaria angustifolia",-45.105833,-22.458333
"Araucaria angustifolia",-46.642163,-21.513719
"Araucaria angustifolia",-49.204259,-25.767288
"Araucaria angustifolia",-50.086244,-29.183213
"Araucaria angustifolia",-42.694505,-22.32372
"Araucaria angustifolia",-54.109311,-26.621583
"Araucaria angustifolia",-50.15160033,-24.89362689
"Araucaria angustifolia",-53.965833,-25.331111
"Araucaria angustifolia",-49.62432,-28.157398
"Araucaria angustifolia",-46.635582,-23.443457
"Araucaria angustifolia",-43.486699,-20.102646
"Araucaria angustifolia",-49.09481555,-25.66441282
"Araucaria angustifolia",-46.282312,-22.811047
"Araucaria angustifolia",-54.832089,-27.075202
"Araucaria angustifolia",-44.537648,-22.330151
"Araucaria angustifolia",-51.521834,-27.604336
"Araucaria angustifolia",-50.3936,-29.428833
"Araucaria angustifolia",-49.676391,-26.711496
"Araucaria angustifolia",-49.398853,-26.871325
"Araucaria angustifolia",-50.289789,-29.8629
"Araucaria angustifolia",-50.599336,-29.456585
"Araucaria angustifolia",-51.342362,-29.223187
"Araucaria angustifolia",-49.726111,-25.788611
"Araucaria angustifolia",-49.410833,-27.629167
"Araucaria angustifolia",-41.699586,-20.558867
"Araucaria angustifolia",-50.67,-28.260278
"Araucaria angustifolia",-49.378488,-28.229265
"Araucaria angustifolia",-50.738452,-29.276436
"Araucaria angustifolia",-43.48708,-20.409231
"Araucaria angustifolia",-45.31,-23.221667
"Araucaria angustifolia",-48.679318,-24.5579763
"Araucaria angustifolia",-44.990341,-23.175282
"Araucaria angustifolia",-51.46,-28.44
"Araucaria angustifolia",-47.0726036,-23.7249783
"Araucaria angustifolia",-54.8689,-29.1833
"Araucaria angustifolia",-51.990556,-26.484444
"Araucaria angustifolia",-49.486111,-28.935278
"Araucaria angustifolia",-46.83,-23.76
"Araucaria angustifolia",-51.43362729,-30.17764052
"Araucaria angustifolia",-45.746339,-22.849011
"Araucaria angustifolia",-44.643828,-22.171342
"Araucaria angustifolia",-49.910961,-24.541057
"Araucaria angustifolia",-48.8347669,-25.4807848
"Araucaria angustifolia",-51.655308,-26.11119
